Project Title : 1000_900_600 
Material : HSLA steel 
Informations :  
Date : 26/02/2025 
Type test : Tension / Compression 
Control Mod : Manual 
Section : Rectangular 
Width(mm) : 2.700000 
Total Length(mm) : 18.150000 
Gauge Length(mm) : 6.300000 
Thickness(mm) : 0.730000 
====================================================================================================
Time (s) 	Speed (µm/s) 	Traverse Speed (µm/s) 	Displacement (µm) 	Force (N) 	Real Speed (µm/s) 	Cal. Force (V) 	Stress (Mpa) 	Elongation (%) 	Speed Controller Input Voltage (V) 	
0.100000 	5.000000 	5.000000 	0.000000 	-18.313790 	0.004689 	2.422221 	-9.291623 	0.000000 	1.377600 	
0.200000 	5.000000 	5.000000 	0.000000 	-18.086779 	0.004521 	2.422410 	-9.176448 	0.000000 	1.377600 	
0.300000 	5.000000 	5.000000 	0.000000 	-17.958469 	0.005536 	2.422517 	-9.111349 	0.000000 	1.377600 	
0.400000 	5.000000 	5.000000 	0.000000 	-17.642629 	0.006626 	2.422780 	-8.951106 	0.000000 	1.377600 	
0.500000 	5.000000 	5.000000 	0.000000 	-17.563669 	0.007670 	2.422846 	-8.911045 	0.000000 	1.377600 	
0.600000 	5.000000 	5.000000 	0.000000 	-17.494579 	0.008862 	2.422903 	-8.875992 	0.000000 	1.377600 	
0.700000 	5.000000 	5.000000 	0.000000 	-17.346529 	0.008211 	2.423027 	-8.800877 	0.000000 	1.377600 	
0.800000 	5.000000 	5.000000 	0.000000 	-17.474839 	0.007643 	2.422920 	-8.865976 	0.000000 	1.377600 	
0.900000 	5.000000 	5.000000 	0.000000 	-17.583409 	0.006450 	2.422829 	-8.921060 	0.000000 	1.377600 	
1.000000 	5.000000 	5.000000 	0.000000 	-17.820289 	0.006366 	2.422632 	-9.041243 	0.000000 	1.377600 	
1.100000 	5.000000 	5.000000 	0.000000 	-18.076909 	0.007614 	2.422419 	-9.171441 	0.000000 	1.377600 	
1.200000 	5.000000 	5.000000 	0.000000 	-18.224959 	0.008396 	2.422295 	-9.246555 	0.000000 	1.377600 	
1.300000 	5.000000 	5.000000 	0.000000 	-18.244699 	0.008480 	2.422279 	-9.256570 	0.000000 	1.377600 	
1.400000 	5.000000 	5.000000 	0.000000 	-18.096649 	0.008350 	2.422402 	-9.181456 	0.000000 	1.377600 	
1.500000 	5.000000 	5.000000 	0.000000 	-17.869639 	0.064221 	2.422591 	-9.066281 	0.000000 	1.377600 	
1.600000 	5.000000 	5.000000 	0.000000 	-17.751199 	0.500258 	2.422690 	-9.006189 	0.000000 	1.377600 	
1.700000 	5.000000 	5.000000 	0.000000 	-17.662369 	1.388825 	2.422764 	-8.961121 	0.000000 	1.377600 	
1.800000 	5.000000 	5.000000 	0.020000 	-17.405749 	2.592751 	2.422977 	-8.830923 	0.000317 	1.377600 	
1.900000 	5.000000 	5.000000 	0.020000 	-17.603149 	3.776389 	2.422813 	-8.931075 	0.000317 	1.377600 	
2.000000 	5.000000 	5.000000 	0.020000 	-17.514319 	4.587624 	2.422887 	-8.886007 	0.000317 	1.377600 	
2.100000 	5.000000 	5.000000 	0.020000 	-17.504449 	4.944221 	2.422895 	-8.880999 	0.000317 	1.377600 	
2.200000 	5.000000 	5.000000 	0.040000 	-17.849899 	4.986046 	2.422608 	-9.056266 	0.000635 	1.377600 	
2.300000 	5.000000 	5.000000 	0.040000 	-17.613019 	4.988134 	2.422805 	-8.936083 	0.000635 	1.377600 	
2.400000 	5.000000 	5.000000 	0.040000 	-17.701849 	4.986866 	2.422731 	-8.981151 	0.000635 	1.377600 	
2.500000 	5.000000 	5.000000 	0.040000 	-17.918989 	4.988208 	2.422550 	-9.091319 	0.000635 	1.377600 	
2.600000 	5.000000 	5.000000 	0.060000 	-17.978209 	4.985897 	2.422501 	-9.121364 	0.000952 	1.377600 	
2.700000 	5.000000 	5.000000 	0.060000 	-17.928859 	4.990892 	2.422542 	-9.096326 	0.000952 	1.377600 	
2.800000 	5.000000 	5.000000 	0.060000 	-17.889379 	4.983139 	2.422575 	-9.076296 	0.000952 	1.377600 	
2.900000 	5.000000 	5.000000 	0.060000 	-17.820289 	4.986717 	2.422632 	-9.041243 	0.000952 	1.377600 	
3.000000 	5.000000 	5.000000 	0.060000 	-17.425489 	4.982915 	2.422961 	-8.840938 	0.000952 	1.377600 	
3.100000 	5.000000 	5.000000 	0.060000 	-17.553799 	4.979113 	2.422854 	-8.906037 	0.000952 	1.377600 	
3.200000 	5.000000 	5.000000 	0.060000 	-17.474839 	4.983810 	2.422920 	-8.865976 	0.000952 	1.377600 	
3.300000 	5.000000 	5.000000 	0.060000 	-17.425489 	4.978442 	2.422961 	-8.840938 	0.000952 	1.377600 	
3.400000 	5.000000 	5.000000 	0.060000 	-17.524189 	4.983213 	2.422879 	-8.891014 	0.000952 	1.377600 	
3.500000 	5.000000 	5.000000 	0.060000 	-17.346529 	4.981126 	2.423027 	-8.800877 	0.000952 	1.377600 	
3.600000 	5.000000 	5.000000 	0.060000 	-17.336659 	4.980380 	2.423035 	-8.795870 	0.000952 	1.377600 	
3.700000 	5.000000 	5.000000 	0.060000 	-17.188609 	4.982617 	2.423158 	-8.720756 	0.000952 	1.377600 	
