Alloy elements = Fe, Mn, Si, Cr, V, Nb	
Alloy composition = 95.77,,,,,,,,,,,2,,,,,,,,,1.5,,,,,,,,,0.5,,,,,,,,,0.2,,,,,,,,0.03	
Theoretical elastic modulus (GPa) = 2.012711e+02	
----------	
Length (mm) = 6.3	
Width (mm) = 2.7	
Thickness (mm) = 0.73	
----------	
Time (s)	Displacement (mm)	Force (N)	Eng. strain	Eng. stress (MPa)	
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
0.10000000	0.00007951	5.00671306	0.00001262	2.54018927	
0.20000000	0.00015902	10.01342612	0.00002524	5.08037855	
0.30000000	0.00023853	15.02013918	0.00003786	7.62056782	
0.40000000	0.00031804	20.02685223	0.00005048	10.16075709	
0.50000000	0.00039755	25.03356529	0.00006310	12.70094637	
0.60000000	0.00047706	30.04027835	0.00007572	15.24113564	
0.70000000	0.00055657	35.04699141	0.00008835	17.78132492	
0.80000000	0.00063609	40.05370447	0.00010097	20.32151419	
0.90000000	0.00071560	45.06041753	0.00011359	22.86170346	
1.00000000	0.00079511	50.06713058	0.00012621	25.40189274	
1.10000000	0.00087462	55.07384364	0.00013883	27.94208201	
1.20000000	0.00095413	60.08055670	0.00015145	30.48227128	
1.30000000	0.00103364	65.08726976	0.00016407	33.02246056	
1.40000000	0.00111315	70.09398282	0.00017669	35.56264983	
1.50000000	0.00119266	75.10069588	0.00018931	38.10283911	
1.60000000	0.00127217	80.10740894	0.00020193	40.64302838	
1.70000000	0.00135168	85.11412199	0.00021455	43.18321765	
1.80000000	0.00143119	90.12083505	0.00022717	45.72340693	
1.90000000	0.00151070	95.12754811	0.00023979	48.26359620	
2.00000000	0.00159021	100.13426117	0.00025241	50.80378547	
2.10000000	0.00166972	105.14097423	0.00026504	53.34397475	
2.20000000	0.00174923	110.14768729	0.00027766	55.88416402	
2.30000000	0.00182874	115.15440034	0.00029028	58.42435330	
2.40000000	0.00190826	120.16111340	0.00030290	60.96454257	
2.50000000	0.00198777	125.16782646	0.00031552	63.50473184	
2.60000000	0.00206728	130.17453952	0.00032814	66.04492112	
2.70000000	0.00214679	135.18125258	0.00034076	68.58511039	
2.80000000	0.00222630	140.18796564	0.00035338	71.12529966	
2.90000000	0.00230581	145.19467870	0.00036600	73.66548894	
3.00000000	0.00238532	150.20139175	0.00037862	76.20567821	
3.10000000	0.00246483	155.20810481	0.00039124	78.74586748	
3.20000000	0.00254434	160.21481787	0.00040386	81.28605676	
3.30000000	0.00262385	165.22153093	0.00041648	83.82624603	
3.40000000	0.00270336	170.22824399	0.00042910	86.36643531	
3.50000000	0.00278287	175.23495705	0.00044173	88.90662458	
3.60000000	0.00286238	180.24167010	0.00045435	91.44681385	
3.70000000	0.00294189	185.24838316	0.00046697	93.98700313	
3.80000000	0.00302140	190.25509622	0.00047959	96.52719240	
3.90000000	0.00310091	195.26180928	0.00049221	99.06738167	
4.00000000	0.00318043	200.26852234	0.00050483	101.60757095	
4.10000000	0.00325994	205.27523540	0.00051745	104.14776022	
4.20000000	0.00333945	210.28194846	0.00053007	106.68794950	
4.30000000	0.00341896	215.28866151	0.00054269	109.22813877	
4.40000000	0.00349847	220.29537457	0.00055531	111.76832804	
4.50000000	0.00357798	225.30208763	0.00056793	114.30851732	
4.60000000	0.00365749	230.30880069	0.00058055	116.84870659	
4.70000000	0.00373700	235.31551375	0.00059317	119.38889586	
