Alloy elements = Zr, Ti, Nb	
Alloy composition = 35,40,25	
Theoretical elastic modulus (GPa) = 1.020740e+02	
----------	
Length (mm) = 5.1	
Width (mm) = 2.21	
Thickness (mm) = 0.95	
----------	
Time (s)	Displacement (mm)	Force (N)	Eng. strain	Eng. Stress (MPa)	
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
0.10000000	0.00185104	77.78174584	0.00036295	37.04774749	
0.20000000	0.00189833	79.76878052	0.00037222	37.99417981	
0.30000000	0.00194562	81.75581519	0.00038149	38.94061214	
0.40000000	0.00199291	83.74284986	0.00039077	39.88704447	
0.50000000	0.00204019	85.72988453	0.00040004	40.83347680	
0.60000000	0.00208748	87.71691921	0.00040931	41.77990912	
0.70000000	0.00213477	89.70395388	0.00041858	42.72634145	
0.80000000	0.00218206	91.69098855	0.00042785	43.67277378	
0.90000000	0.00222934	93.67802322	0.00043713	44.61920611	
1.00000000	0.00227663	95.66505789	0.00044640	45.56563843	
1.10000000	0.00232392	97.65209257	0.00045567	46.51207076	
1.20000000	0.00237121	99.63912724	0.00046494	47.45850309	
1.30000000	0.00241849	101.62616191	0.00047421	48.40493542	
1.40000000	0.00246578	103.61319658	0.00048349	49.35136775	
1.50000000	0.00251307	105.60023125	0.00049276	50.29780007	
1.60000000	0.00256035	107.58726593	0.00050203	51.24423240	
1.70000000	0.00260764	109.57430060	0.00051130	52.19066473	
1.80000000	0.00265493	111.56133527	0.00052057	53.13709706	
1.90000000	0.00270222	113.54836994	0.00052985	54.08352938	
2.00000000	0.00274950	115.53540462	0.00053912	55.02996171	
2.10000000	0.00279679	117.52243929	0.00054839	55.97639404	
2.20000000	0.00284408	119.50947396	0.00055766	56.92282637	
2.30000000	0.00289137	121.49650863	0.00056693	57.86925870	
2.40000000	0.00293865	123.48354330	0.00057621	58.81569102	
2.50000000	0.00298594	125.47057798	0.00058548	59.76212335	
2.60000000	0.00303323	127.45761265	0.00059475	60.70855568	
2.70000000	0.00308051	129.44464732	0.00060402	61.65498801	
2.80000000	0.00312780	131.43168199	0.00061329	62.60142033	
2.90000000	0.00317509	133.41871666	0.00062257	63.54785266	
3.00000000	0.00322238	135.40575134	0.00063184	64.49428499	
3.10000000	0.00326966	137.39278601	0.00064111	65.44071732	
3.20000000	0.00331695	139.37982068	0.00065038	66.38714965	
3.30000000	0.00336424	141.36685535	0.00065965	67.33358197	
3.40000000	0.00341153	143.35389003	0.00066893	68.28001430	
3.50000000	0.00345881	145.34092470	0.00067820	69.22644663	
3.60000000	0.00350610	147.32795937	0.00068747	70.17287896	
3.70000000	0.00355339	149.31499404	0.00069674	71.11931128	
3.80000000	0.00360068	151.30202871	0.00070601	72.06574361	
3.90000000	0.00364796	153.28906339	0.00071529	73.01217594	
4.00000000	0.00369525	155.27609806	0.00072456	73.95860827	
4.10000000	0.00374254	157.26313273	0.00073383	74.90504060	
4.20000000	0.00378982	159.25016740	0.00074310	75.85147292	
4.30000000	0.00383711	161.23720207	0.00075237	76.79790525	
4.40000000	0.00388440	163.22423675	0.00076165	77.74433758	
4.50000000	0.00393169	165.21127142	0.00077092	78.69076991	
4.60000000	0.00397897	167.19830609	0.00078019	79.63720223	
4.70000000	0.00402626	169.18534076	0.00078946	80.58363456	
4.80000000	0.00407355	171.17237544	0.00079873	81.53006689	
4.90000000	0.00412084	173.15941011	0.00080801	82.47649922	
