Alloy elements = Zr, Ti, Nb	
Alloy composition = 35,40,25	
Theoretical elastic modulus (GPa) = 1.020740e+02	
----------	
Length (mm) = 5.1	
Width (mm) = 2.21	
Thickness (mm) = 0.95	
----------	
Time (s)	Displacement (mm)	Force (N)	Eng. strain	Eng. stress (MPa)	
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
0.10000000	0.00184792	77.65047855	0.00036234	36.98522436	
0.20000000	0.00189523	79.63830399	0.00037161	37.93203334	
0.30000000	0.00194253	81.62612943	0.00038089	38.87884231	
0.40000000	0.00198984	83.61395487	0.00039016	39.82565128	
0.50000000	0.00203715	85.60178031	0.00039944	40.77246026	
0.60000000	0.00208445	87.58960575	0.00040872	41.71926923	
0.70000000	0.00213176	89.57743119	0.00041799	42.66607820	
0.80000000	0.00217906	91.56525663	0.00042727	43.61288718	
0.90000000	0.00222637	93.55308207	0.00043654	44.55969615	
1.00000000	0.00227368	95.54090750	0.00044582	45.50650512	
1.10000000	0.00232098	97.52873294	0.00045509	46.45331410	
1.20000000	0.00236829	99.51655838	0.00046437	47.40012307	
1.30000000	0.00241559	101.50438382	0.00047365	48.34693204	
1.40000000	0.00246290	103.49220926	0.00048292	49.29374101	
1.50000000	0.00251021	105.48003470	0.00049220	50.24054999	
1.60000000	0.00255751	107.46786014	0.00050147	51.18735896	
1.70000000	0.00260482	109.45568558	0.00051075	52.13416793	
1.80000000	0.00265212	111.44351102	0.00052002	53.08097691	
1.90000000	0.00269943	113.43133645	0.00052930	54.02778588	
2.00000000	0.00274674	115.41916189	0.00053858	54.97459485	
2.10000000	0.00279404	117.40698733	0.00054785	55.92140383	
2.20000000	0.00284135	119.39481277	0.00055713	56.86821280	
2.30000000	0.00288866	121.38263821	0.00056640	57.81502177	
2.40000000	0.00293596	123.37046365	0.00057568	58.76183075	
2.50000000	0.00298327	125.35828909	0.00058495	59.70863972	
2.60000000	0.00303057	127.34611453	0.00059423	60.65544869	
2.70000000	0.00307788	129.33393997	0.00060351	61.60225766	
2.80000000	0.00312519	131.32176541	0.00061278	62.54906664	
2.90000000	0.00317249	133.30959084	0.00062206	63.49587561	
3.00000000	0.00321980	135.29741628	0.00063133	64.44268458	
3.10000000	0.00326710	137.28524172	0.00064061	65.38949356	
3.20000000	0.00331441	139.27306716	0.00064988	66.33630253	
3.30000000	0.00336172	141.26089260	0.00065916	67.28311150	
3.40000000	0.00340902	143.24871804	0.00066844	68.22992048	
3.50000000	0.00345633	145.23654348	0.00067771	69.17672945	
3.60000000	0.00350364	147.22436892	0.00068699	70.12353842	
3.70000000	0.00355094	149.21219436	0.00069626	71.07034740	
3.80000000	0.00359825	151.20001979	0.00070554	72.01715637	
3.90000000	0.00364555	153.18784523	0.00071481	72.96396534	
4.00000000	0.00369286	155.17567067	0.00072409	73.91077431	
4.10000000	0.00374017	157.16349611	0.00073337	74.85758329	
4.20000000	0.00378747	159.15132155	0.00074264	75.80439226	
4.30000000	0.00383478	161.13914699	0.00075192	76.75120123	
4.40000000	0.00388208	163.12697243	0.00076119	77.69801021	
4.50000000	0.00392939	165.11479787	0.00077047	78.64481918	
4.60000000	0.00397670	167.10262331	0.00077974	79.59162815	
4.70000000	0.00402400	169.09044875	0.00078902	80.53843713	
4.80000000	0.00407131	171.07827418	0.00079830	81.48524610	
4.90000000	0.00411861	173.06609962	0.00080757	82.43205507	
5.00000000	0.00416592	175.05392506	0.00081685	83.37886404	
5.10000000	0.00421323	177.04175050	0.00082612	84.32567302	
5.20000000	0.00426053	179.02957594	0.00083540	85.27248199	
5.30000000	0.00430784	181.01740138	0.00084467	86.21929096	
5.40000000	0.00435515	183.00522682	0.00085395	87.16609994	
5.50000000	0.00440245	184.99305226	0.00086323	88.11290891	
5.60000000	0.00444976	186.98087770	0.00087250	89.05971788	
5.70000000	0.00449706	188.96870313	0.00088178	90.00652686	
5.80000000	0.00454437	190.95652857	0.00089105	90.95333583	
5.90000000	0.00459168	192.94435401	0.00090033	91.90014480	
6.00000000	0.00463898	194.93217945	0.00090960	92.84695378	
6.10000000	0.00468629	196.92000489	0.00091888	93.79376275	
6.20000000	0.00473359	198.90783033	0.00092816	94.74057172	
6.30000000	0.00478090	200.89565577	0.00093743	95.68738069	
6.40000000	0.00482821	202.88348121	0.00094671	96.63418967	
6.50000000	0.00487551	204.87130665	0.00095598	97.58099864	
6.60000000	0.00492282	206.85913209	0.00096526	98.52780761	
6.70000000	0.00497013	208.84695752	0.00097453	99.47461659	
6.80000000	0.00501743	210.83478296	0.00098381	100.42142556	
6.90000000	0.00506474	212.82260840	0.00099309	101.36823453	
7.00000000	0.00511204	214.81043384	0.00100236	102.31504351	
7.10000000	0.00515935	216.79825928	0.00101164	103.26185248	
7.20000000	0.00520666	218.78608472	0.00102091	104.20866145	
7.30000000	0.00525396	220.77391016	0.00103019	105.15547043	
7.40000000	0.00530127	222.76173560	0.00103946	106.10227940	
7.50000000	0.00534857	224.74956104	0.00104874	107.04908837	
7.60000000	0.00539588	226.73738647	0.00105802	107.99589734	
7.70000000	0.00544319	228.72521191	0.00106729	108.94270632	
7.80000000	0.00549049	230.71303735	0.00107657	109.88951529	
7.90000000	0.00553780	232.70086279	0.00108584	110.83632426	
8.00000000	0.00558511	234.68868823	0.00109512	111.78313324	
8.10000000	0.00563241	236.67651367	0.00110439	112.72994221	
8.20000000	0.00567972	238.66433911	0.00111367	113.67675118	
8.30000000	0.00572702	240.65216455	0.00112295	114.62356016	
8.40000000	0.00577433	242.63998999	0.00113222	115.57036913	
8.50000000	0.00582164	244.62781543	0.00114150	116.51717810	
8.60000000	0.00586894	246.61564086	0.00115077	117.46398708	
8.70000000	0.00591625	248.60346630	0.00116005	118.41079605	
8.80000000	0.00596355	250.59129174	0.00116932	119.35760502	
8.90000000	0.00601086	252.57911718	0.00117860	120.30441399	
9.00000000	0.00605817	254.56694262	0.00118788	121.25122297	
9.10000000	0.00610547	256.55476806	0.00119715	122.19803194	
9.20000000	0.00615278	258.54259350	0.00120643	123.14484091	
9.30000000	0.00620008	260.53041894	0.00121570	124.09164989	
9.40000000	0.00624739	262.51824438	0.00122498	125.03845886	
9.50000000	0.00629470	264.50606981	0.00123425	125.98526783	
9.60000000	0.00634200	266.49389525	0.00124353	126.93207681	
9.70000000	0.00638931	268.48172069	0.00125281	127.87888578	
9.80000000	0.00643662	270.46954613	0.00126208	128.82569475	
9.90000000	0.00648392	272.45737157	0.00127136	129.77250373	
10.00000000	0.00653123	274.44519701	0.00128063	130.71931270	
10.10000000	0.00657853	276.43302245	0.00128991	131.66612167	
10.20000000	0.00662584	278.42084789	0.00129918	132.61293064	
10.30000000	0.00667315	280.40867333	0.00130846	133.55973962	
10.40000000	0.00672045	282.39649877	0.00131774	134.50654859	
10.50000000	0.00676776	284.38432420	0.00132701	135.45335756	
10.60000000	0.00681506	286.37214964	0.00133629	136.40016654	
10.70000000	0.00686237	288.35997508	0.00134556	137.34697551	
10.80000000	0.00690968	290.34780052	0.00135484	138.29378448	
10.90000000	0.00695698	292.33562596	0.00136411	139.24059346	
11.00000000	0.00700429	294.32345140	0.00137339	140.18740243	
11.10000000	0.00705160	296.31127684	0.00138267	141.13421140	
11.20000000	0.00709890	298.29910228	0.00139194	142.08102037	
11.30000000	0.00714621	300.28692772	0.00140122	143.02782935	
11.40000000	0.00719351	302.27475315	0.00141049	143.97463832	
11.50000000	0.00724082	304.26257859	0.00141977	144.92144729	
11.60000000	0.00728813	306.25040403	0.00142904	145.86825627	
11.70000000	0.00733543	308.23822947	0.00143832	146.81506524	
11.80000000	0.00738274	310.22605491	0.00144760	147.76187421	
11.90000000	0.00743004	312.21388035	0.00145687	148.70868319	
12.00000000	0.00747735	314.20170579	0.00146615	149.65549216	
12.10000000	0.00752466	316.18953123	0.00147542	150.60230113	
12.20000000	0.00757196	318.17735667	0.00148470	151.54911011	
12.30000000	0.00761927	320.16518211	0.00149397	152.49591908	
12.40000000	0.00766657	322.15300754	0.00150325	153.44272805	
12.50000000	0.00771388	324.14083298	0.00151253	154.38953702	
12.60000000	0.00776119	326.12865842	0.00152180	155.33634600	
