Total length (mm) = 50	
Gage length (mm) = 5.1	
Width (mm) = 2.21	
Thickness (mm) = 0.95	
----------	
Time (s)	Displacement (mm)	Force (N)	Eng. strain	Eng. stress (MPa)	
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
0.10000000	0.04032179	60.25381900	0.00790623	28.69912789	
0.20000000	0.04058481	61.83140200	0.00795781	29.45053679	
0.30000000	0.04084783	63.32024600	0.00800938	30.15967897	
0.40000000	0.04111084	65.30208500	0.00806095	31.10363658	
0.50000000	0.04137386	67.33322300	0.00811252	32.07107549	
0.60000000	0.04163687	69.42352100	0.00816409	33.06669255	
0.70000000	0.04189989	71.30676100	0.00821566	33.96368707	
0.80000000	0.04216290	72.96322300	0.00826724	34.75266635	
0.90000000	0.04242592	74.71828400	0.00831881	35.58860872	
1.00000000	0.04268894	76.62124400	0.00837038	36.49499595	
1.10000000	0.04295195	78.74112100	0.00842195	37.50470160	
1.20000000	0.04321497	80.78211900	0.00847352	38.47683687	
1.30000000	0.04347798	83.01045600	0.00852509	39.53820243	
1.40000000	0.04374100	85.23879200	0.00857667	40.59956752	
1.50000000	0.04400401	87.41782900	0.00862824	41.63745130	
1.60000000	0.04426703	89.40952700	0.00867981	42.58610479	
1.70000000	0.04453005	91.52940500	0.00873138	43.59581091	
1.80000000	0.04479306	93.19572700	0.00878295	44.38948654	
1.90000000	0.04505608	95.20714500	0.00883452	45.34753275	
2.00000000	0.04531909	97.32702300	0.00888610	46.35723887	
2.10000000	0.04558211	99.28914200	0.00893767	47.29180376	
2.20000000	0.04584512	101.48789800	0.00898924	48.33907978	
2.30000000	0.04610814	103.35141800	0.00904081	49.22668159	
2.40000000	0.04637116	105.40227600	0.00909238	50.20351322	
2.50000000	0.04663417	107.45313400	0.00914396	51.18034484	
2.60000000	0.04689719	109.48427200	0.00919553	52.14778376	
2.70000000	0.04716020	111.78162800	0.00924710	53.24202334	
2.80000000	0.04742322	114.07898300	0.00929867	54.33626244	
2.90000000	0.04768623	116.05096200	0.00935024	55.27552370	
3.00000000	0.04794925	118.12154000	0.00940181	56.26174804	
3.10000000	0.04821227	120.06393900	0.00945339	57.18692022	
3.20000000	0.04847528	121.95703900	0.00950496	58.08861110	
3.30000000	0.04873830	124.23467400	0.00955653	59.17345749	
3.40000000	0.04900131	126.51231000	0.00960810	60.25830436	
