Total length (mm) = 50	
Gage length (mm) = 5.1	
Width (mm) = 2.21	
Thickness (mm) = 0.95	
----------	
Time (s)	Displacement (mm)	Force (N)	Eng. strain	Eng. stress (MPa)	
0.00000000	0.00000000	58.56777700	0.00000000	27.89605954	
0.10000000	0.00039290	60.25381900	0.00007704	28.69912789	
0.20000000	0.00078580	61.83140200	0.00015408	29.45053679	
0.30000000	0.00117870	63.32024600	0.00023112	30.15967897	
0.40000000	0.00157161	65.30208500	0.00030816	31.10363658	
0.50000000	0.00196451	67.33322300	0.00038520	32.07107549	
0.60000000	0.00235741	69.42352100	0.00046224	33.06669255	
0.70000000	0.00275031	71.30676100	0.00053928	33.96368707	
0.80000000	0.00314321	72.96322300	0.00061632	34.75266635	
0.90000000	0.00353611	74.71828400	0.00069336	35.58860872	
1.00000000	0.00392901	76.62124400	0.00077039	36.49499595	
1.10000000	0.00432191	78.74112100	0.00084743	37.50470160	
1.20000000	0.00471482	80.78211900	0.00092447	38.47683687	
1.30000000	0.00510772	83.01045600	0.00100151	39.53820243	
1.40000000	0.00550062	85.23879200	0.00107855	40.59956752	
1.50000000	0.00589352	87.41782900	0.00115559	41.63745130	
1.60000000	0.00628642	89.40952700	0.00123263	42.58610479	
1.70000000	0.00667932	91.52940500	0.00130967	43.59581091	
1.80000000	0.00707222	93.19572700	0.00138671	44.38948654	
1.90000000	0.00746513	95.20714500	0.00146375	45.34753275	
2.00000000	0.00785803	97.32702300	0.00154079	46.35723887	
2.10000000	0.00825093	99.28914200	0.00161783	47.29180376	
2.20000000	0.00864383	101.48789800	0.00169487	48.33907978	
2.30000000	0.00903673	103.35141800	0.00177191	49.22668159	
2.40000000	0.00942963	105.40227600	0.00184895	50.20351322	
2.50000000	0.00982253	107.45313400	0.00192599	51.18034484	
2.60000000	0.01021543	109.48427200	0.00200303	52.14778376	
2.70000000	0.01060834	111.78162800	0.00208007	53.24202334	
2.80000000	0.01100124	114.07898300	0.00215711	54.33626244	
2.90000000	0.01139414	116.05096200	0.00223414	55.27552370	
3.00000000	0.01178704	118.12154000	0.00231118	56.26174804	
3.10000000	0.01217994	120.06393900	0.00238822	57.18692022	
3.20000000	0.01257284	121.95703900	0.00246526	58.08861110	
3.30000000	0.01296574	124.23467400	0.00254230	59.17345749	
3.40000000	0.01335865	126.51231000	0.00261934	60.25830436	
3.50000000	0.01375155	128.58288800	0.00269638	61.24452870	
3.60000000	0.01414445	131.01828200	0.00277342	62.40451631	
3.70000000	0.01453735	133.14801900	0.00285046	63.41891831	
3.80000000	0.01493025	135.43551400	0.00292750	64.50846106	
3.90000000	0.01532315	137.61455100	0.00300454	65.54634484	
4.00000000	0.01571605	139.52737000	0.00308158	66.45742796	
4.10000000	0.01610895	141.66696700	0.00315862	67.47652632	
4.20000000	0.01650186	143.60936700	0.00323566	68.40169898	
4.30000000	0.01689476	145.74896400	0.00331270	69.42079733	
4.40000000	0.01728766	147.82940100	0.00338974	70.41171755	
4.50000000	0.01768056	150.16619600	0.00346678	71.52474208	
4.60000000	0.01807346	152.35509300	0.00354382	72.56732222	
4.70000000	0.01846636	154.63272800	0.00362086	73.65216861	
4.80000000	0.01885926	156.75260500	0.00369789	74.66187426	
4.90000000	0.01925217	158.68514500	0.00377493	75.58235056	
5.00000000	0.01964507	160.99236000	0.00385197	76.68128602	
5.10000000	0.02003797	163.08265700	0.00392901	77.67690260	
5.20000000	0.02043087	165.33071300	0.00400605	78.74766040	
5.30000000	0.02082377	167.05619500	0.00408309	79.56951417	
5.40000000	0.02121667	169.08733300	0.00416013	80.53695308	
5.50000000	0.02160957	171.34524800	0.00423717	81.61240676	
5.60000000	0.02200247	173.54400500	0.00431421	82.65968326	
5.70000000	0.02239538	176.02869800	0.00439125	83.84315218	
5.80000000	0.02278828	178.14857500	0.00446829	84.85285782	
5.90000000	0.02318118	180.24873300	0.00454533	85.85317123	
6.00000000	0.02357408	182.18127200	0.00462237	86.77364706	
6.10000000	0.02396698	184.56736600	0.00469941	87.91015289	
6.20000000	0.02435988	186.68724300	0.00477645	88.91985854	
6.30000000	0.02475278	189.18179600	0.00485349	90.10802382	
6.40000000	0.02514569	191.75522900	0.00493053	91.33375994	
6.50000000	0.02553859	193.77650700	0.00500757	92.29650250	
6.60000000	0.02593149	196.15274100	0.00508461	93.42831198	
6.70000000	0.02632439	197.99654100	0.00516164	94.30652108	
6.80000000	0.02671729	200.08683900	0.00523868	95.30213813	
