Total length (mm) = 50	
Gage length (mm) = 5.1	
Width (mm) = 2.21	
Thickness (mm) = 0.95	
----------	
Time (s)	Displacement (mm)	Force (N)	Eng. strain	Eng. stress (MPa)	
0.00000000	0.00000000	137.61455100	0.00000000	65.54634484	
0.10000000	0.00050460	139.52737000	0.00009894	66.45742796	
0.20000000	0.00100920	141.66696700	0.00019788	67.47652632	
0.30000000	0.00151380	143.60936700	0.00029682	68.40169898	
0.40000000	0.00201841	145.74896400	0.00039577	69.42079733	
0.50000000	0.00252301	147.82940100	0.00049471	70.41171755	
0.60000000	0.00302761	150.16619600	0.00059365	71.52474208	
0.70000000	0.00353221	152.35509300	0.00069259	72.56732222	
0.80000000	0.00403681	154.63272800	0.00079153	73.65216861	
0.90000000	0.00454141	156.75260500	0.00089047	74.66187426	
1.00000000	0.00504602	158.68514500	0.00098941	75.58235056	
1.10000000	0.00555062	160.99236000	0.00108836	76.68128602	
1.20000000	0.00605522	163.08265700	0.00118730	77.67690260	
1.30000000	0.00655982	165.33071300	0.00128624	78.74766040	
1.40000000	0.00706442	167.05619500	0.00138518	79.56951417	
1.50000000	0.00756902	169.08733300	0.00148412	80.53695308	
1.60000000	0.00807363	171.34524800	0.00158306	81.61240676	
1.70000000	0.00857823	173.54400500	0.00168201	82.65968326	
1.80000000	0.00908283	176.02869800	0.00178095	83.84315218	
1.90000000	0.00958743	178.14857500	0.00187989	84.85285782	
2.00000000	0.01009203	180.24873300	0.00197883	85.85317123	
2.10000000	0.01059663	182.18127200	0.00207777	86.77364706	
2.20000000	0.01110124	184.56736600	0.00217671	87.91015289	
2.30000000	0.01160584	186.68724300	0.00227565	88.91985854	
2.40000000	0.01211044	189.18179600	0.00237460	90.10802382	
2.50000000	0.01261504	191.75522900	0.00247354	91.33375994	
2.60000000	0.01311964	193.77650700	0.00257248	92.29650250	
2.70000000	0.01362424	196.15274100	0.00267142	93.42831198	
2.80000000	0.01412885	197.99654100	0.00277036	94.30652108	
2.90000000	0.01463345	200.08683900	0.00286930	95.30213813	
3.00000000	0.01513805	202.03909800	0.00296824	96.23200667	
3.10000000	0.01564265	204.12939500	0.00306719	97.22762324	
3.20000000	0.01614725	206.48591000	0.00316613	98.35004049	
3.30000000	0.01665185	208.67480600	0.00326507	99.39262015	
3.40000000	0.01715645	211.13977900	0.00336401	100.56669636	
3.50000000	0.01766106	213.38783500	0.00346295	101.63745416	
3.60000000	0.01816566	215.53729200	0.00356189	102.66124887	
3.70000000	0.01867026	217.62758900	0.00366084	103.65686544	
3.80000000	0.01917486	219.66858700	0.00375978	104.62900071	
3.90000000	0.01967946	222.13356100	0.00385872	105.80307740	
